,required,optional,optional,optional
,uint32,string,uint64,uint32
,id,path,approach,red_flag
备注,物品资源Id,图标路径,获取方式类型,是否一直显示红点1：是0：否
,1,Textures/Atlas/Dyn/Item/1.png,0,0
,2,Textures/Atlas/Dyn/Item/2.png,0,0
,3,Textures/Atlas/Dyn/Item/3.png,0,0
,4,Textures/Atlas/Dyn/Item/4.png,0,0
,5,Textures/Atlas/Dyn/Item/5.png,0,0
,6,Textures/Atlas/Dyn/Item/6.png,0,0
,8,Textures/Atlas/Dyn/Item/8.png,0,0
,9,Textures/Atlas/Dyn/Item/7.png,0,0
,10,Textures/Atlas/Dyn/Item/14.png,0,0
,11,Textures/Atlas/Dyn/Item/11.png,0,0
,12,Textures/Atlas/Dyn/Item/12.png,0,0
,13,Textures/Atlas/Dyn/Item/13.png,0,0
,14,Textures/Atlas/Dyn/Item/14.png,0,0
,15,Textures/Atlas/Dyn/Item/15.png,0,0
,16,Textures/Atlas/Dyn/Item/16.png,0,0
,17,Textures/Atlas/Dyn/Item/17.png,0,0
,18,Textures/Atlas/Dyn/Item/17.png,0,0
,19,Textures/Atlas/Dyn/Item/17.png,0,0
,21,Textures/Atlas/Dyn/Item/6.png,0,0
,101,Textures/Atlas/Dyn/Item/101.png,0,0
,102,Textures/Atlas/Dyn/Item/102.png,0,0
,103,Textures/Atlas/Dyn/Item/103.png,0,0
,120012,Textures/Atlas/Dyn/Item/120022.png,137438955520,0
,120013,Textures/Atlas/Dyn/Item/120023.png,1099511627776,0
,120023,Textures/Atlas/Dyn/Item/120023.png,0,0
,120033,Textures/Atlas/Dyn/Item/120023.png,134217728,0
,201000,Textures/Atlas/Dyn/Item/120022.png,0,1
,201001,Textures/Atlas/Dyn/Item/120022.png,0,1
,201002,Textures/Atlas/Dyn/Item/120022.png,0,1
,201003,Textures/Atlas/Dyn/Item/120022.png,0,1
,201004,Textures/Atlas/Dyn/Item/120022.png,0,1
,202000,Textures/Atlas/Dyn/Item/202000.png,0,1
,202001,Textures/Atlas/Dyn/Item/202001.png,0,1
,202002,Textures/Atlas/Dyn/Item/202002.png,0,1
,202003,Textures/Atlas/Dyn/Item/202002.png,0,1
,202004,Textures/Atlas/Dyn/Item/202002.png,0,1
,203000,Textures/Atlas/Dyn/Item/203000.png,0,1
,203001,Textures/Atlas/Dyn/Item/203001.png,0,1
,203002,Textures/Atlas/Dyn/Item/203002.png,0,1
,203003,Textures/Atlas/Dyn/Item/203002.png,0,1
,203004,Textures/Atlas/Dyn/Item/203002.png,0,1
,204010,Textures/Atlas/Dyn/Item/7000071.png,137438953472,0
,204020,Textures/Atlas/Dyn/Item/7000071.png,4194304,0
