,required,optional,required,required,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,uint32,int32,int32,int32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,name,hero_id,part,strengthen_level,limit_hero_level,limit_star,money,material_id1,material_num1,material_id2,material_num2,material_id3,material_num3,material_id4,material_num4
备注,id,name,英雄id,部位,强化等级,限制英雄等级,限制星级等级,所需金币数量,材料1ID,材料1数量,材料2ID,材料2数量,材料3ID,材料3数量,材料4ID,材料4数量
,1,,101,1,1,1,0,100,2110001,1,0,0,0,0,0,0
,2,,101,1,2,2,0,200,2110001,1,0,0,0,0,0,0
,3,,101,1,3,3,0,300,2110001,1,0,0,0,0,0,0
,4,,101,1,4,4,0,400,2110001,1,0,0,0,0,0,0
,5,,101,1,5,5,0,500,2110001,1,0,0,0,0,0,0
,6,,101,1,6,6,0,600,2110001,1,0,0,0,0,0,0
,7,,101,1,7,7,0,700,2110001,1,0,0,0,0,0,0
,8,,101,1,8,8,0,800,2110001,1,0,0,0,0,0,0
,9,,101,1,9,9,0,900,2110001,1,0,0,0,0,0,0
,10,,101,1,10,10,0,1000,2110001,1,0,0,0,0,0,0
,11,,101,1,11,11,1,1200,2110001,2,0,0,0,0,0,0
,12,,101,1,12,12,1,1400,2110001,2,0,0,0,0,0,0
,13,,101,1,13,13,1,1600,2110001,2,0,0,0,0,0,0
,14,,101,1,14,14,1,1800,2110001,2,0,0,0,0,0,0
,15,,101,1,15,15,1,2000,2110001,2,0,0,0,0,0,0
,16,,101,1,16,16,1,2200,2110001,2,0,0,0,0,0,0
,17,,101,1,17,17,1,2400,2110001,2,0,0,0,0,0,0
,18,,101,1,18,18,1,2600,2110001,2,0,0,0,0,0,0
,19,,101,1,19,19,1,2800,2110001,2,0,0,0,0,0,0
,20,,101,1,20,20,1,3000,2110001,2,0,0,0,0,0,0
,21,,101,1,21,21,2,3300,2110001,3,0,0,0,0,0,0
